unit_ref,tenancy_id,tenancy_start_date,tenancy_end_date
Unit1987,Tenant316,06/05/1985,
Unit8461,Tenant317,01/10/2018,
Unit7981,Tenant318,16/11/2009,
Unit7586,Tenant319,13/10/1986,
Unit7547,Tenant320,04/02/2019,
Unit435,Tenant321,11/11/2013,
Unit1665,Tenant322,07/09/1998,
Unit3127,Tenant323,20/05/1996,20/09/2020
Unit3600,Tenant324,11/04/2011,
Unit461,Tenant325,22/08/2016,
Unit800,Tenant326,22/05/1978,
Unit2134,Tenant327,28/11/2016,
Unit7795,Tenant328,25/03/2002,
Unit2994,Tenant329,11/08/2008,
Unit4532,Tenant330,20/11/2017,18/08/2019
Unit4532,Tenant331,19/08/2019,
Unit2307,Tenant332,24/11/2003,
Unit5236,Tenant333,18/04/2005,
Unit8756,Tenant334,27/04/2015,
Unit648,Tenant335,02/04/2018,17/03/2019
Unit648,Tenant336,17/06/2019,
Unit9301,Tenant337,23/09/2002,
Unit8390,Tenant338,18/12/2017,
Unit3914,Tenant339,07/07/2008,
Unit936,Tenant340,04/01/2010,13/01/2019
Unit936,Tenant341,11/03/2019,
Unit5010,Tenant342,26/03/2012,
Unit9706,Tenant343,17/08/2012,
Unit6396,Tenant344,28/07/2014,07/02/2021
Unit9377,Tenant345,27/12/1982,
Unit4222,Tenant346,12/05/2008,
Unit1256,Tenant347,25/05/2015,
Unit3011,Tenant348,15/09/2008,
Unit852,Tenant349,25/06/2001,
Unit1010,Tenant350,06/11/2000,
Unit7286,Tenant351,19/05/2008,
Unit2534,Tenant352,20/06/2011,14/06/2020
Unit4019,Tenant353,20/08/2012,
Unit9896,Tenant354,03/05/2004,18/04/2021
Unit1933,Tenant355,30/06/2008,
Unit3239,Tenant356,17/04/1995,
Unit9061,Tenant357,18/11/2002,
Unit7325,Tenant358,30/06/2003,
Unit2459,Tenant359,29/08/2016,
Unit3550,Tenant360,06/01/1997,
Unit6861,Tenant361,09/11/1992,
Unit6078,Tenant362,13/07/1992,
Unit6161,Tenant363,26/03/2012,14/04/2019
Unit6161,Tenant364,17/06/2019,
Unit4050,Tenant365,27/05/2013,
Unit6374,Tenant366,03/08/2015,
Unit4555,Tenant367,21/06/1993,
Unit9354,Tenant368,28/01/2019,
Unit9354,Tenant369,24/04/2017,27/01/2019
Unit888,Tenant370,21/05/2007,
Unit4223,Tenant371,01/08/2016,
Unit8360,Tenant372,24/07/2006,
Unit1383,Tenant373,08/12/1997,
